Time,intracellular,extracellular,glucose_inside_cell,glucose_outside_cell,lactose,glucose_hexokinase,hexokinase,glucose_6_phosphate,hexokinase_inhibited,fructose_6_phosphate,fructose_16_diphosphate,dihydroxyacetone_3_phosphate,glyceraldehyde_3_phosphate,glycerol,pyruvate,_6_phosphogluconolactone,NADP,NADPH,_6_phosphogluconate,CO2A,ribulose_5_phosphate,ribose_5_phosphate,xylulose_5_phosphate,sedoheptulose_7_phosphate,erythrose_4_phosphate,lactate,acetyl_CoA,CO2B,CIT0C,CO2C,CO2D,fatty_acids,CIT2C,CIT1C,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16,reaction_17,reaction_18,reaction_19,reaction_20,reaction_21,reaction_22,reaction_23,reaction_24,reaction_25,reaction_26,reaction_27,reaction_28,reaction_29,reaction_30
1920.0,1.0,1.0,2.6409138173889906,50.0,45.56412493367351,1.3638202261954135E-4,1.4178319685151258E-4,0.3054076387418222,7.218367805253441E-4,0.05249588888406867,0.012881839747808946,0.09285810019993239,0.03516359568124448,0.4178614509705605,0.05963622268927769,0.3288831984691926,0.2310358210127302,3.5879641789872725,1.8774170034035045,8.955469092648181,0.23134583294889197,0.1599431330657366,0.08179956279542176,0.021013128689999105,0.006028017757672876,4.960432548389061,2.1854293000041704E-4,19.9797533627561,374.1091092252866,19.87045222401437,19.87156784964439,20.94358171701274,0.1588469373336072,0.1588494567375119,0.1601503577933543,0.023768224356500913,0.1363820225204261,0.13638202261954135,2.081107325043515E-10,0.1094217910582153,0.12737517028582898,0.1273751681645972,0.12737517249588892,-3.54323859141914E-9,0.2637269676093336,0.026959909790741587,0.026958026142608865,0.026928250507594065,0.008976212891779665,0.017953105127902876,0.008976622120221347,0.008976696105340328,0.008976691872927517,-6.911295935161999E-4,0.05963622268927769,0.026703517454805533,0.05957585104090839,0.05924993568839872,0.0592532622733242,0.05381946268480908,6.968050858471571E-5,0.0595666628120947,0.05956760150010269,0.059568546276566964
1930.0,1.0,1.0,2.6409149187770757,50.0,45.80180722691442,1.363810384131126E-4,1.417821145387032E-4,0.30541083225729326,7.218388470441552E-4,0.05249597500618941,0.012881860617292048,0.09285809068423685,0.03516358911612053,0.4178614081784089,0.05962936759057003,0.32890176685963923,0.23104549162845714,3.5879545083715456,1.8777113328769386,8.957691591114692,0.23133520947857789,0.15993906127473143,0.08179744217076244,0.021012434748684434,0.006027975577352142,4.9535374721748475,2.1734050890737393E-4,19.980348133484583,376.1569713380922,19.873598544008882,19.8746905851705,20.944261454096843,0.15883767497350187,0.158840130017573,0.1601493819635107,0.02376823426899368,0.13638103831537043,0.1363810384131126,2.052275583226378E-10,0.10942293986256368,0.12737537933028592,0.12737537727677833,0.12737538334839327,-4.9671520230276656E-9,0.263726918370904,0.02695778122809278,0.026955951012241568,0.026926858493848904,0.008975747681278247,0.017952167857032332,0.00897615283003621,0.008976226073052672,0.008976221870248005,-6.87887708370323E-4,0.05962936759057003,0.026707074232476806,0.0595707761719556,0.05925250564640615,0.059255761532598664,0.05381931762557318,6.627348519390713E-5,0.05956321339870069,0.0595641281150632,0.05956504875658987
1940.0,1.0,1.0,2.6409160049331453,50.0,46.039489618592754,1.363800678115167E-4,1.4178104718813939E-4,0.30541398172511725,7.218408849958759E-4,0.05249605840688121,0.012881880816785244,0.09285807804201185,0.03516358139819839,0.4178613513162144,0.05962263948274613,0.32891980690211636,0.23105485078462873,3.5879451492153738,1.8779989044126866,8.959865124234014,0.23132468987041324,0.1599350299438494,0.08179534190112459,0.021011747873365422,0.006027933690949881,4.94667475299148,2.16151410474474E-4,19.980925367295036,378.2048678699794,19.87668514698073,19.87775406547228,20.944907316305354,0.15882864909582678,0.1588310414686566,0.1601484196292331,0.023768244044398305,0.13638006771512273,0.1363800678115167,2.023966080182734E-10,0.10942407283697339,0.12737558177216746,0.12737557978496838,0.12737558755655742,-6.358050086419098E-9,0.2637268604864879,0.026955682019787375,0.02695390404402192,0.026925480040076444,0.008975287008430304,0.01795123977560455,0.008975688144483003,0.008975760657537675,0.008975756483900109,-6.84658192013356E-4,0.05962263948274613,0.026710540405811754,0.059565775485294445,0.05925502163152435,0.05925820821861726,0.053819177238230605,6.290542298951812E-5,0.05955985203738043,0.05956074341093504,0.059561640550746225
1950.0,1.0,1.0,2.640917076132699,50.0,46.277172107350076,1.3637911056873887E-4,1.4177999452923682E-4,0.3054170879406249,7.218428948978175E-4,0.052496139143080926,0.012881900360328479,0.09285806234617923,0.035163572554581135,0.4178612807121336,0.059616035405425316,0.32893733040067336,0.23106390559780057,3.587936094402202,1.8782798625684973,8.961990723353527,0.2313142724730703,0.15993103841188083,0.08179326167077763,0.02101106794849182,0.006027892094141454,4.939844267014537,2.1497541208232885E-4,19.981485584323394,380.25279761969847,19.87971344088657,19.880759690876516,20.945519689978422,0.15881985349846708,0.15882218484352212,0.1601474705464283,0.02376825368519429,0.13637911047366877,0.1363791105687389,1.9961683276118174E-10,0.10942519026719415,0.12737577774960376,0.12737577582732104,0.12737578525904336,-7.716352001807536E-9,0.2637267941593585,0.026953611635751162,0.026951884731470317,0.02692411493192992,0.008974830801381046,0.017950320736969512,0.008975227989999938,0.008975299784929665,0.008975295640034759,-6.814410713445089E-4,0.059616035405425316,0.026713917813326854,0.059560847602400956,0.05925748501708016,0.05926060368090234,0.05381904141603303,5.957567008064719E-5,0.059556576419146676,0.05955744506192516,0.059558319316320794
1960.0,1.0,1.0,2.640918132645757,50.0,46.51485469185249,1.3637816644371E-4,1.4177895629684828E-4,0.30542015168210346,7.218448772554112E-4,0.052496217270716454,0.012881919261713498,0.0928580436685775,0.03516356261197342,0.41786119668944943,0.05960955247418604,0.32895434892522474,0.23107266304373655,3.587927336956266,1.8785543490069065,8.964069399474262,0.231303955676281,0.159927086034433,0.08179120117170058,0.021010394861360207,0.006027850782755808,4.9330458901627035,2.1381229606457896E-4,19.982029289129073,382.30075941708793,19.882684797199996,19.883708825296974,20.946098955009724,0.15881128214475818,0.15881355406168693,0.16014653447585925,0.02376826319381181,0.13637816634993993,0.13637816644371,1.9688709424750192E-10,0.10942629243285008,0.12737596739827708,0.1273759655395411,0.1273759765921345,-9.042533832825939E-9,0.26372671958980065,0.02695156955690603,0.026949892578686005,0.026922762960357005,0.008974378990056237,0.01794941059813332,0.008974772294859412,0.008974843383203987,0.008974839266642706,-6.782363708557706E-4,0.05960955247418604,0.02671720826251032,0.0595559911725531,0.05925989713731971,0.059262949230148805,0.05381891005434399,5.6283588999328656E-5,0.05955338429656053,0.05955423080428432,0.059555082773132595
1970.0,1.0,1.0,2.640919174736479,50.0,46.75253737079014,1.3637723520053296E-4,1.417779322315192E-4,0.3054231737121972,7.218468325643714E-4,0.052496292844863804,0.012881937534522657,0.09285802208015215,0.035163551596753786,0.41786109956742473,0.05960318787860375,0.3289708738160491,0.2310811299593758,3.5879188700406273,1.8788225025488772,8.966102143610778,0.23129373790921776,0.15992317218334864,0.08178916010327353,0.021009728502019206,0.006027809752782064,4.926279498121492,2.1266184957166093E-4,19.982556971168993,384.3487521222859,19.885600551907824,19.88660279723267,20.946645484988746,0.15880292915908215,0.15880514320484768,0.1601456111834798,0.02376827257262831,0.1363772351080395,0.13637723520053296,1.9420641002743533E-10,0.10942737960794234,0.1273761508518027,0.1273761490552667,0.12737616168997867,-1.0337004141547368E-8,0.2637266369756534,0.026949555274965675,0.026947927100181825,0.026921423921406173,0.00897393150609064,0.017948509219614335,0.008974320989098918,0.008974391382113601,0.00897438729349221,-6.750441127026333E-4,0.05960318787860375,0.026720413530219252,0.05955120487237443,0.05926225928871143,0.05926524613953128,0.05381878305060941,5.302855630908332E-5,0.05955027348216367,0.05955109843465581,0.05955192870181788
1980.0,1.0,1.0,2.64092020266373,50.0,46.9902201428767,1.3637631660808663E-4,1.4177692207904577E-4,0.3054261547774291,7.218487613095194E-4,0.05249636591962946,0.012881955192099748,0.09285799765078935,0.035163539534910804,0.4178609896605567,0.05959693888012766,0.32898691618726283,0.23108931304545663,3.587910686954546,1.8790844592254492,8.968089927146593,0.23128361763948846,0.1599192962462065,0.08178713817209464,0.0210090687631851,0.006027769000350896,4.91954496636622,2.1152386443849545E-4,19.98306910525675,386.3967746249611,19.888462006478143,19.88944290073777,20.94715964733917,0.1587947888223566,0.15879694651246304,0.16014470043993523,0.02376828182397357,0.13637631651684695,0.13637631660808663,1.9157373388654312E-10,0.10942845206067818,0.12737632824144374,0.1273763265057829,0.12737634068442416,-1.1600231886177426E-8,0.26372654651183103,0.02694756829214473,0.026945987820561124,0.026920097616080163,0.00897348828278588,0.01794761646535329,0.008973874004472738,0.008973943713134678,0.008973939652073652,-6.718643167792804E-4,0.05959693888012766,0.026723535362982203,0.05954648740516769,0.05926457273099095,0.05926749564575289,0.053818660304318186,4.9809962222948615E-5,0.05954724184673335,0.05954804580838372,0.05954885494217364
1990.0,1.0,1.0,2.6409212166809986,50.0,47.22790300684891,1.3637541044002395E-4,1.4177592559047722E-4,0.3054290956090128,7.218506639656428E-4,0.052496436548228075,0.012881972247569273,0.09285797044940007,0.03516352645207486,0.41786086727895355,0.05959080281017163,0.3290024869309517,0.23109721886865628,3.5879027811313464,1.8793403523292498,8.970033702184168,0.2312735933717804,0.15991545762579934,0.0817851350917274,0.02100841554016054,0.006027728521734873,4.912842170184291,2.1039813705680575E-4,19.98356615200749,388.4448258435646,19.891270428800688,19.89223039636373,20.94764180345352,0.15878685556777486,0.15878895837737453,0.16014380202063538,0.023768290950128987,0.1363754103500157,0.13637541044002394,1.8898806338504912E-10,0.10942951005376232,0.1273764996962994,0.12737649802021164,0.1273765137051428,-1.2832661155925962E-8,0.2637264483905614,0.026945608120922504,0.026944074274323104,0.026918783850181427,0.008973049255051073,0.01794673220259241,0.008973431274393043,0.008973500309411787,0.008973496275545233,-6.686970007869966E-4,0.05959080281017163,0.026726575477372526,0.05954183750041493,0.05926683868832299,0.05926969895021066,0.053818541716970196,4.662721023584451E-5,0.05954428731774285,0.059545070837915576,0.05954585939151545
2000.0,1.0,1.0,2.6409222170363478,50.0,47.465585961466076,1.3637451647481678E-4,1.4177494252216478E-4,0.3054319969235073,7.218525409987398E-4,0.05249650478303045,0.012881988713848117,0.09285794054397657,0.03516351237353929,0.41786073272858887,0.059584777068246234,0.3290175967211258,0.2311048538637268,3.5878951461362756,1.8795903124654216,8.971934401889596,0.23126366364660636,0.15991165573963304,0.08178315058246126,0.021007768730745415,0.0060276883133448655,4.906170984696777,2.0928446825159425E-4,19.984048558268896,390.4929047246017,19.894027054100402,19.894966512074227,20.948092308824208,0.15877912397675176,0.15878117334172204,0.16014291570579564,0.02376829995332713,0.136374516386018,0.13637451647481677,1.8644849587043464E-10,0.10943055384463232,0.12737666534342168,0.12737666372562678,0.12737668087972676,-1.4034714723720754E-8,0.26372634280154467,0.026943674283829377,0.02694218600564547,0.02691748243414338,0.008972614359348263,0.01794585630176402,0.00897299273387407,0.00897306110570056,0.008973057098675928,-6.655421803010014E-4,0.059584777068246234,0.026729535560376036,0.05953725391327298,0.05926905835041159,0.05927185722010836,0.05381842719204413,4.3479716768729244E-5,0.05954140787784895,0.05954217149128191,0.059542940003145764
2010.0,1.0,1.0,2.6409232039728843,50.0,47.70326900550959,1.363736344953978E-4,1.4177397263536451E-4,0.3054348594225276,7.218543928650467E-4,0.05249657067548265,0.01288200460362562,0.09285790800147425,0.035163497324214955,0.4178605863107716,0.05957885912003599,0.3290322560171821,0.23111222433597542,3.587887775664027,1.879834467600931,8.973792940832805,0.2312538270393728,0.15990789001947597,0.08178118437114476,0.02100712823516544,0.006027648371716245,4.899531284879345,2.081826631612627E-4,19.98451675753879,392.54101024192283,19.896733085825215,19.897652444134405,20.948511513171017,0.1587715887747722,0.15877358609283163,0.1601420412800243,0.023768308835755956,0.136373634407787,0.1363736344953978,1.8395405561495454E-10,0.10943158368535512,0.12737682530761893,0.12737682374685863,0.1273768423335775,-1.520687220590844E-8,0.26372622993161215,0.026941766313188786,0.026940322568104004,0.026916193182902504,0.00897218353365313,0.017944988636407033,0.008972558319488115,0.00897262603832113,0.008972622057798132,-6.623998688385926E-4,0.05957885912003599,0.026732417269712563,0.059532735423970105,0.05927123287346698,0.05927397158942618,0.0538183166349604,4.036691082223622E-5,0.05953860156331306,0.05953934579053958,0.059540094784811856
2020.0,1.0,1.0,2.6409241777288215,50.0,47.94095213778253,1.3637276428908702E-4,1.417730156961573E-4,0.3054376837930717,7.218562200104658E-4,0.05249663427611539,0.012882019929365676,0.09285787288778198,0.03516348132861909,0.4178604283220104,0.05957304649558334,0.3290464750676957,0.23111933646352403,3.587880663536479,1.880072943113093,8.975610215322902,0.23124408215927883,0.1599041599109122,0.08177923619099457,0.02100649395600912,0.006027608693502963,4.892922945582505,2.0709253112164528E-4,19.98497117036972,394.58914139603127,19.899389696508678,19.900289357974895,20.94889976056525,0.15876424482735002,0.15876619145911205,0.16014117853226395,0.023768317599559392,0.1363727642026431,0.136372764289087,1.815037881005687E-10,0.10943259982274464,0.12737697971147877,0.12737697820651564,0.12737699818985648,-1.634957413898519E-8,0.26372610996464313,0.02693988375090184,0.026938483524469807,0.026914915915756232,0.008971756717407166,0.017944129083067813,0.008972127969318353,0.008972195045112121,0.00897219109076247,-6.592700779237525E-4,0.05957304649558334,0.026735222234183204,0.059528280837266405,0.05927336338119218,0.05927604315991004,0.05381820995304718,3.7288233641954104E-5,0.059535866462520515,0.05953659181025626,0.05953732179716702
2030.0,1.0,1.0,2.6409251385374195,50.0,48.17863535710916,1.363719056475773E-4,1.4177207147543708E-4,0.3054404707083422,7.218580228721881E-4,0.05249669563462629,0.012882034703327307,0.09285783526785153,0.03516346441092384,0.4178602590545974,0.05956733678762738,0.3290602639143289,0.23112619629929043,3.5878738037007127,1.8803058618381743,8.977387103738016,0.23123442764810584,0.1599004648728803,0.08177730578134726,0.021005865798141517,0.00602756927547973,4.886345841551249,2.0601388555409737E-4,19.985412204761033,396.63729721341025,19.901998028607917,19.902878389030732,20.94925738955055,0.1587570871363882,0.1587589844063231,0.16014032725584615,0.023768326246836773,0.13637190556227968,0.13637190564757729,1.7909678650058006E-10,0.10943360249865691,0.12737712867556752,0.12737712722518635,0.12737714856970372,-1.7463275270301892E-8,0.2637259830819288,0.026938026148217276,0.0269366684465277,0.026913650456224403,0.008971333851464631,0.01794327752119383,0.008971701622904003,0.008971768065378024,0.00897176413688468,-6.561528171468033E-4,0.05956733678762738,0.026737952054063256,0.05952388898202796,0.0592754509658392,0.05927807300212922,0.05381810705551069,3.424313839588979E-5,0.05953320071464291,0.059533907676145574,0.05953461915237117
