Time,compartment,GSH,HTA,SLG,Lac,MG,ZAZ,reversMA,reversMM,irreversMM,irreversMA
1514.0,1.0,0.14008923250937438,4.9773917328381624E-5,0.1410131643232305,0.0045418327109833555,8.923250937427882E-5,100.06430599653909,4.5627536826295184E-7,7.129249230822171E-7,7.040729860194215E-4,7.266932337573369E-4
1515.0,1.0,0.14008877775937054,4.952012285031844E-5,0.14031155044037347,0.00451926853277862,8.87777593704126E-5,100.0650308831446,4.538967186959648E-7,7.092166240677409E-7,7.0057476488726E-4,7.230829652445791E-4
1516.0,1.0,0.14008832538168006,4.926765385919916E-5,0.13961342240789112,0.004496816125852873,8.832538167997978E-5,100.0657521684307,4.5153074757040435E-7,7.05528915129127E-7,6.970938754225824E-4,7.194905801364597E-4
1517.0,1.0,0.1400878753633688,4.90165031145016E-5,0.13891876295701386,0.00447447493981303,8.78753633687699E-5,100.0664698702367,4.491773799166583E-7,7.018616847679544E-7,6.93630232246936E-4,7.159159903700849E-4
1518.0,1.0,0.14008742769157756,4.876666341774498E-5,0.1382275549040255,0.0044522444269440705,8.742769157761999E-5,100.06718400631406,4.4683654148110793E-7,6.982148216919904E-7,6.90183750397608E-4,7.123591083110513E-4
1519.0,1.0,0.140086982353522,4.851812761228162E-5,0.13753978114984886,0.0044301240421963225,8.69823535220484E-5,100.0678945943268,4.4450815872480005E-7,6.945882148469665E-7,6.867543453256463E-4,7.088198467514116E-4
1520.0,1.0,0.14008653933649176,4.8270888583081644E-5,0.13685542467963377,0.004408113243172786,8.65393364918731E-5,100.06860165185208,4.421921588181342E-7,6.909817534439153E-7,6.833419328938928E-4,7.052981189076457E-4
1521.0,1.0,0.14008609862785068,4.8024939256512336E-5,0.13617446856234738,0.0043862114901165525,8.609862785081848E-5,100.06930519638036,4.3988846963428983E-7,6.873953269827416E-7,6.799464293750268E-4,7.017938384186485E-4
1522.0,1.0,0.14008566021503602,4.778027260011272E-5,0.13549689595036427,0.004364418245898191,8.566021503611217E-5,100.070005245316,4.3759701974038995E-7,6.838288252731032E-7,6.765677514496059E-4,6.983069193437105E-4
1523.0,1.0,0.14008522408555796,4.753688162236597E-5,0.13482269007906236,0.004342732976003346,8.522408555807616E-5,100.07070181597766,4.353177383869573E-7,6.802821384524723E-7,6.732058162041367E-4,6.948372761605354E-4
1524.0,1.0,0.14008479022699954,4.729475937246785E-5,0.13415183426641675,0.004321155148520227,8.479022699971032E-5,100.07139492559854,4.330505554970453E-7,6.767551570021444E-7,6.69860541129132E-4,6.913848237632363E-4
1525.0,1.0,0.14008435862701618,4.705389894009419E-5,0.1334843119125985,0.0042996842341272825,8.435862701627311E-5,100.07208459132714,4.3079540165401353E-7,6.73247771761351E-7,6.665318441171943E-4,6.879494774603652E-4
1526.0,1.0,0.1400839292733348,4.681429345516632E-5,0.13282010649957326,0.004278319706080839,8.392927333485788E-5,100.07277083022737,4.2855220808828696E-7,6.697598739398581E-7,6.632196434610952E-4,6.845311529729342E-4
1527.0,1.0,0.14008350215375395,4.657593608761615E-5,0.13215920159070405,0.004257061040202889,8.350215375396892E-5,100.07345365927908,4.2632090666529427E-7,6.662913551291469E-7,6.599238578518765E-4,6.811297664324622E-4
