Time,compartment,A,B,C,reversMA,irreversMA
1.46,1.0,0.23011861229770372,0.16845620040380424,14.601425187298481,0.5835620483832065,1.0107372024228254
1.47,1.0,0.2243563646635562,0.1642381514674419,14.61140548386899,0.5689491557193411,0.9854289088046513
1.48,1.0,0.2187384084997332,0.16012571233675277,14.621135879163502,0.5547022093254272,0.9607542740205166
1.49,1.0,0.2132611303708091,0.1561162394984502,14.630622630130729,0.5408120424863361,0.9366974369907011
1.5,1.0,0.20792100735443608,0.15220715554545294,14.639871837100099,0.5272697183268384,0.9132429332727177
1.51,1.0,0.20271460477198258,0.1483959475295008,14.648889447698506,0.5140665240289287,0.8903756851770048
1.52,1.0,0.19763857397625906,0.1446801653543049,14.657681260669428,0.5011939651964264,0.8680809921258293
1.53,1.0,0.19268965019487747,0.14105742020828327,14.66625292959683,0.4886437603629433,0.8463445212496996
1.54,1.0,0.18786465042783018,0.13752538303594838,14.674609966536213,0.47640783563942396,0.8251522982156902
1.55,1.0,0.1831604713979113,0.13408178304703308,14.682757745555048,0.46447831949757906,0.8044906982821984
1.56,1.0,0.1785740875526387,0.13072440626245757,14.690701506184896,0.4528475376856397,0.7843464375747454
1.57,1.0,0.17410254911637152,0.12745109409626024,14.69844635678736,0.4415080082729656,0.7647065645775615
1.58,1.0,0.1697429801913516,0.12425974197263136,14.705997277836008,0.43045243682014367,0.7455584518357882
1.59,1.0,0.16549257690642988,0.12114829797720784,14.713359125116353,0.41967371167130385,0.7268897878632471
1.6,1.0,0.16134860561227193,0.1181147615418037,14.720536632845915,0.40916489936548034,0.7086885692508222
1.61,1.0,0.15730840112186756,0.11515718216176996,14.727534416716354,0.3989192401639303,0.6909430929706197
1.62,1.0,0.15336936499519999,0.11227365814519445,14.734356976859598,0.388930143690411,0.6736419488711667
1.63,1.0,0.14952896386695955,0.10946233539316894,14.741008700739862,0.3791911846815003,0.6567740123590136
1.64,1.0,0.1457847278162159,0.10672140621036887,14.747493865973407,0.3696960988441259,0.6403284372622132
1.65,1.0,0.14213424877699046,0.1040491081452071,14.753816643077794,0.36043877881754766,0.6242946488712426
1.66,1.0,0.13857517898869795,0.10144372285884039,14.759981098152455,0.351413270237111,0.6086623371530423
1.67,1.0,0.13510522948545217,0.09890357502232278,14.76599119549222,0.34261376789716314,0.5934214501339367
1.68,1.0,0.13172216862325792,0.09642703124121728,14.77185080013552,0.33403461201059714,0.5785621874473037
1.69,1.0,0.12842382064413413,0.09401249900699211,14.777563680348868,0.3256702845625523,0.5640749940419527
1.7,1.0,0.12520806427623965,0.09165842567454395,14.78313351004921,0.31751540575587067,0.5499505540472637
1.71,1.0,0.12207283136909526,0.08936329746520556,14.788563871165694,0.3095647305459699,0.5361797847912334
1.72,1.0,0.11901610556301939,0.08712563849461048,14.793858255942366,0.30181314526285663,0.5227538309676629
1.73,1.0,0.11603592099191733,0.08494400982480209,14.799020069183277,0.29425566431806516,0.5096640589488125
1.74,1.0,0.11313036101858537,0.08281700853998876,14.804052630441422,0.286887426994364,0.4969020512399326
1.75,1.0,0.11029755700171295,0.08074326684536111,14.808959176152921,0.2797036943161296,0.4844596010721667
1.76,1.0,0.10753568709378605,0.07872145118840117,14.81374286171781,0.27269984599834185,0.472328707130407
1.77,1.0,0.1048429750691161,0.07675026140212689,14.818406763528754,0.2658713774722107,0.46050156841276135
1.78,1.0,0.1022176891812374,0.07482842986972892,14.822953880949033,0.2592138969854918,0.44897057921837347
1.79,1.0,0.0996581410489358,0.07295472071006935,14.827387138240995,0.2527231227756045,0.4377283242604161
1.8,1.0,0.09716268457019014,0.0711279289835252,14.831709386446285,0.24639488031371018,0.42676757390115116
1.81,1.0,0.09472971486332532,0.0693468799176716,14.835923405219004,0.24022509961795807,0.41608127950602963
1.82,1.0,0.09235766723469443,0.06761042815231232,14.840031904612996,0.2342098126341531,0.40566256891387387
1.83,1.0,0.09004501617222431,0.06591745700337652,14.844037526824401,0.2283451506821442,0.3955047420202591
1.84,1.0,0.08779027436417546,0.06426687774521328,14.847942847890614,0.22262734196627526,0.3856012664712797
1.85,1.0,0.08559199174248389,0.06265762891082592,14.851750379346694,0.2170527091482837,0.3759457734649555
1.86,1.0,0.08344875455006838,0.06108867560959993,14.855462569840336,0.21161766698107365,0.36653205365759955
1.87,1.0,0.08135918443150196,0.05955900886208902,14.859081806706413,0.2063187200018298,0.3573540531725341
1.88,1.0,0.07932193754646183,0.058067644951434634,14.862610417502108,0.20115246028297806,0.3484058697086078
1.89,1.0,0.07733570370538642,0.056613624791004215,14.866050671503615,0.19611556523953727,0.3396817487460253
1.9,1.0,0.0753992055267832,0.05519601330784447,14.869404781165375,0.19120479549144387,0.3311760798470668
1.91,1.0,0.07351119761564377,0.053813898841555116,14.872674903542805,0.18641699277946486,0.32288339304933067
1.92,1.0,0.07167046576243788,0.052466392558198724,14.875863141679368,0.18174907793335407,0.3147983553491923
1.93,1.0,0.06987582616216975,0.0511526278788715,14.878971545958962,0.177198048890936,0.306915767273229
1.94,1.0,0.06812612465299474,0.0498717599225694,14.88200211542444,0.17276097876684016,0.2992305595354164
1.95,1.0,0.06642023597390517,0.048622964962992635,14.884956799063108,0.16843501396963542,0.29173778977795584
