Time,compartment,GSH,HTA,SLG,Lac,MG,reversMA,reversMM,irreversMM
1191.0,1.0,0.14050518734965853,2.8238726823723726E-4,0.7037572483723902,99.30545517700969,5.051873496596516E-4,3.0770092103799473E-6,4.802297361848523E-6,0.0034941955871451093
1192.0,1.0,0.14050212333585213,2.80671430493449E-4,0.7002764206968087,99.30894078453683,5.021233358532685E-4,3.0522979240254263E-6,4.763699707363486E-6,0.0034770332594284805
1193.0,1.0,0.14049908389109253,2.7896937806853905E-4,0.6968126754389813,99.31240927129184,4.990838910936392E-4,3.027879730586728E-6,4.7255607520555044E-6,0.0034599539793027695
1194.0,1.0,0.14049606872409962,2.772809469116635E-4,0.693365930201311,99.31586072012765,4.960687241007898E-4,3.003750601800778E-6,4.687874175248047E-6,0.003442957357696925
1195.0,1.0,0.14049307754760468,2.7560597526071496E-4,0.6899361029681279,99.319295213509,4.930775476058908E-4,2.9799065407873837E-6,4.650633706888569E-6,0.003426043007230541
1196.0,1.0,0.14049011007831833,2.7394430362298264E-4,0.6865231121040517,99.32271283351399,4.901100783194977E-4,2.9563435828302946E-6,4.613833128704389E-6,0.0034092105422077142
1197.0,1.0,0.1404871660368979,2.7229577475542635E-4,0.6831268763523609,99.32611366183598,4.8716603689903627E-4,2.933057796126819E-6,4.577466275306783E-6,0.0033924595786109235
1198.0,1.0,0.1404842451479144,2.706602336445838E-4,0.6797473148333715,99.32949777978509,4.8424514791556864E-4,2.9100452825029646E-6,4.541527035243583E-6,0.0033757897340949265
1199.0,1.0,0.14048134713981872,2.690375274861303E-4,0.6763843470428229,99.33286526828991,4.8134713981987185E-4,2.887302178093557E-6,4.506009352000738E-6,0.003359200627980689
1200.0,1.0,0.14047847174490674,2.674275056641068E-4,0.6730378928502702,99.3362162078992,4.7847174490786023E-4,2.8648246539869074E-6,4.470907224953083E-6,0.003342691881249313
1201.0,1.0,0.14047561869928427,2.658300197298346E-4,0.6697078724974813,99.33955067878352,4.7561869928538613E-4,2.842608916838363E-6,4.436214710264486E-6,0.003326263116535985
1202.0,1.0,0.1404727877428313,2.642449233805372E-4,0.6663942065968458,99.34286876073695,4.727877428324546E-4,2.82065120945133E-6,4.40192592173815E-6,0.0033099139581239507
1203.0,1.0,0.14046997861916571,2.6267207243768414E-4,0.663096816129785,99.34617053317861,4.699786191668764E-4,2.7989478113210012E-6,4.368035031617303E-6,0.0032936440319384923
1204.0,1.0,0.14046719107560635,2.611113248250773E-4,0.659815622445175,99.3494560751544,4.671910756074014E-4,2.777495039148702E-6,4.334536271336814E-6,0.003277452965540943
1205.0,1.0,0.1404644248631353,2.5956254054669304E-4,0.6565505472577718,99.35272546533852,4.6442486313635824E-4,2.7562892473250106E-6,4.301423932226048E-6,0.003261340388122701
1206.0,1.0,0.14046167973636076,2.5802558166430044E-4,0.6533015126466414,99.3559787820353,4.6167973636182644E-4,2.73532682837775E-6,4.26869236616389E-6,0.0032453059304992445
1207.0,1.0,0.1404589554534783,2.5650031227487447E-4,0.6500684410536055,99.3592161031806,4.5895545347938917E-4,2.714604213390707E-6,4.236335986186113E-6,0.003229349225104216
1208.0,1.0,0.14045625177623244,2.549865984878136E-4,0.6468512552816805,99.36243750634353,4.562517762334756E-4,2.6941178723913434E-6,4.204349267045925E-6,0.00321346990598345
1209.0,1.0,0.1404535684698773,2.5348430840198906E-4,0.6436498784935385,99.3656430687281,4.535684698783441E-4,2.673864314705764E-6,4.172726745728238E-6,0.003197667608789094
1210.0,1.0,0.1404509053031377,2.5199331208262976E-4,0.6404642342099582,99.36883286717477,4.5090530313871534E-4,2.6538400892869027E-6,4.141463021918242E-6,0.00318194197077367
1211.0,1.0,0.14044826204816907,2.505134815380708E-4,0.6372942463082972,99.37200697816195,4.4826204817010663E-4,2.63404178501138E-6,4.110552758425048E-6,0.003166292630784215
1212.0,1.0,0.14044563848051786,2.4904469069637284E-4,0.6341398390209596,99.37516547780778,4.4563848051887577E-4,2.6144660309449126E-6,4.079990681561182E-6,0.0031507192292563892
1213.0,1.0,0.14044303437908098,2.475868153818315E-4,0.631000936933874,99.37830844187162,4.430343790820186E-4,2.5951094965829006E-6,4.0497715814784295E-6,0.0031352214082086224
1214.0,1.0,0.14044044952606577,2.461397332913929E-4,0.6278774649849815,99.38143594575561,4.404495260667429E-4,2.575968892062062E-6,4.019890312460866E-6,0.0031197988112362856
1215.0,1.0,0.14043788370694887,2.447033239709865E-4,0.62476934846272,99.3845480645063,4.3788370694983854E-4,2.55704096833976E-6,3.9903417931760186E-6,0.003104451083505837
