Time,compartment,ADP,NAD,ATP,NADH,pyruvate,lactate,CoA,halfglucose,AcCoA,AcP,Ac,AcO,EtOH,AcLac,AcetoinIn,AcetoinOut,Butanediol,O2,PO4,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14
0.02,1.0,0.9046014921814988,8.250696478725192,4.095398507818506,1.749303521274802,0.10624489821175334,0.1,0.9411941295571009,30.0,0.058805870442900726,0.016481996527227254,1.0,0.0031884162870912066,1.0,5.3582099661668833E-5,3.2081373792709E-5,0.0,0.01,0.2,10.0,283.38440404086026,281.09422930693023,1.07614367628479,-3.670847039815488,-3.798598682300484,1.9566427035890832,1.8095627307706428,2.3116164431136616E-4,5.679670309154579E-4,0.0012832467180448337,-0.00175035858715317,277.18773084025526,48.48716376744119,1.607462989850065E-8
0.021,1.0,0.9022169205934855,8.29939625428402,4.09778307940652,1.7006037457159797,0.10747542830769669,0.1,0.938407337968866,30.0,0.06159266203113556,0.01660961459716534,1.0,0.003334367250334802,1.0,5.325025976311955E-5,3.314099580058081E-5,0.0,0.01,0.2,10.0,284.9224470195188,282.5417776412263,1.1331912961622734,-3.6393836811150093,-3.7669279213171265,1.987822601691578,1.8429537900173127,2.3763790575633337E-4,5.644495607162888E-4,0.0013256310454766503,-0.001845733226734827,278.78461352529706,48.194742045995554,1.5975077928935862E-8
0.022,1.0,0.8998599550224248,8.347704843305968,4.1001400449775804,1.6522951566940327,0.10874030409026385,0.1,0.9356216405727056,30.0,0.06437835942729596,0.016737198139983533,1.0,0.003478243559284658,1.0,5.292850369405461E-5,3.425145870029902E-5,0.0,0.01,0.2,10.0,286.4494339363286,283.97290811169603,1.1937834373192644,-3.607678232546013,-3.7353553064351295,2.013344181668549,1.8704172816765245,2.4440400665070325E-4,5.610389774975859E-4,0.0013700489627768676,-0.0019457957443625366,280.3712327833954,47.89141200491161,1.5878551108216382E-8
0.023,1.0,0.8975315223515852,8.39559070556789,4.10246847764842,1.604409294432109,0.11004141759030252,0.1,0.9328281976906942,30.0,0.06717180230930726,0.016865073815316687,1.0,0.0036203030709478974,1.0,5.261702321150681E-5,3.541560274052035E-5,0.0,0.01,0.2,10.0,287.9642525923617,285.3861403259786,1.258138839258924,-3.5756059757044274,-3.703731610778074,2.0335376917693058,1.8923062689951462,2.514798696718755E-4,5.577373138682218E-4,0.0014166140755725466,-0.0020508165367634527,281.9466899384945,47.57679523380861,1.578510696345204E-8
0.024,1.0,0.8952325957108666,8.443021980877697,4.10476740428914,1.5569780191223066,0.11138080884417773,0.1,0.9300183881973653,30.0,0.06998161180263614,0.016993550297067717,1.0,0.003760780824490975,1.0,5.2316028785334E-5,3.663642900206983E-5,0.0,0.01,0.2,10.0,289.4657883937466,286.7799811622512,1.3264884395359462,-3.5430393161014964,-3.6719165397191755,2.0487074606340916,1.908947820857511,2.588872787290121E-4,5.545468007897562E-4,0.0014654464223380315,-0.0021610759901112353,283.51004386183683,47.25051302439465,1.5694808635600197E-8
0.025,1.0,0.892964174783692,8.489966417121035,4.107035825216315,1.510033582878968,0.11276066596608067,0.1,0.927183774906868,30.0,0.07281622509313346,0.017122927075804005,1.0,0.003899889311035628,1.0,5.202575131725272E-5,3.791710236185642E-5,0.0,0.01,0.2,10.0,290.95291392685266,288.1529110960546,1.3990753164881653,-3.5098495333770936,-3.639775088365092,2.0591351151576447,1.9206458791890895,2.6665001405484133E-4,5.514698857979639E-4,0.0015166725929082658,-0.0022768629650881406,285.06032410301054,46.91218980499547,1.5607725395175815E-8
0.026,1.0,0.8907272792193335,8.536391306535343,4.109272720780673,1.4636086934646633,0.1141833270944322,0.1,0.9243160721395981,30.0,0.0756839278604033,0.017253499370844177,1.0,0.004037818998351751,1.0,5.174644398827716E-5,3.926095271127333E-5,0.0,0.01,0.2,10.0,292.424483402519,289.50337812841735,1.4761544515227036,-3.4759074023723078,-3.607175462886872,2.065082670143739,1.927684168500375,2.747940097908571E-4,5.485092525854482E-4,0.0015704257771684983,-0.0023984729212978132,286.5965354387381,46.56145723989144,1.5523933196483148E-8
0.027,1.0,0.8885229472378966,8.582263433027096,4.11147705276211,1.4177365669729087,0.11565128237811342,0.1,0.9214071163472028,30.0,0.07859288365279864,0.017385561087162646,1.0,0.00417473899176125,1.0,5.1478384251004595E-5,4.067147406275725E-5,0.0,0.01,0.2,10.0,293.8793294352226,290.82979559610044,1.557992250171385,-3.44108327986776,-3.5739878010100563,2.0667954897797096,1.9303290537724853,2.8334752579647356E-4,5.45667842119609E-4,0.0016268457292675136,-0.0025262055208339525,288.1176589970417,46.19795906414021,1.5443515275301378E-8
0.028,1.0,0.8863522360954985,8.627549032683632,4.113647763904509,1.3724509673163703,0.11716717496947815,0.1,0.9184488403133569,30.0,0.08155115968664474,0.017519406772828747,1.0,0.004310797782824066,1.0,5.1221875976850006E-5,4.215232105153752E-5,0.0,0.01,0.2,10.0,295.3162611285387,292.13054243268317,1.6448657572240117,-3.405246953009935,-3.5400833103545293,2.0645051278137143,1.9288323024855942,2.9234132893247945E-4,5.429488754030611E-4,0.001686078627635975,-0.0026603615780273126,289.6226521503503,45.82135672925315,1.5366562793055E-8
0.029,1.0,0.8842162229629406,8.672213769536915,4.115783777037066,1.327786230463088,0.11873380027325363,0.1,0.9154332513097037,30.0,0.08456674869029805,0.01765533304529306,1.0,0.004446124075815527,1.0,5.097725176410502E-5,4.370730223323307E-5,0.0,0.01,0.2,10.0,296.7340630715185,293.4039654154329,1.737061493612104,-3.368267398107921,-3.505333636512884,2.058432053585484,1.9234337297781234,3.0180887999990886E-4,5.403558779387733E-4,0.0017482768068367662,-0.002801239229737386,291.11044814561836,45.431335934030805,1.5293175529231505E-8
