Time,compartment,GSH,HTA,SLG,Lac,MG,vneHTA,vGlxI
40780.0,1.0,1.2199222013901136,0.004078949232344609,6.7759988493775305,0.0,0.01,2.7996760058331994E-5,2.8088054469506155E-5
40790.0,1.0,1.219642277903801,0.0040780208585505,6.776279701237637,0.0,0.01,2.798267773691885E-5,2.807392641618906E-5
40800.0,1.0,1.2193624952155906,0.004077092950838503,6.776560411833559,0.0,0.01,2.7968603386120325E-5,2.8059806359174247E-5
40810.0,1.0,1.2190828532457938,0.004076165508945735,6.776840981245248,0.0,0.01,2.7954537000506735E-5,2.80456942930129E-5
40820.0,1.0,1.218803351914776,0.004075238532609494,6.777121409552601,0.0,0.01,2.794047857465013E-5,2.8031590212260897E-5
40830.0,1.0,1.2185239911429566,0.004074312021567254,6.777401696835462,0.0,0.01,2.792642810312603E-5,2.801749411147879E-5
40840.0,1.0,1.21824477085081,0.004073385975556667,6.777681843173619,0.0,0.01,2.7912385580520366E-5,2.80034059852318E-5
40850.0,1.0,1.2179656909588636,0.004072460394315562,6.7779618486468065,0.0,0.01,2.789835100141906E-5,2.7989325828089877E-5
40860.0,1.0,1.2176867513877,0.0040715352775819455,6.778241713334704,0.0,0.01,2.7884324360415852E-5,2.7975253634627592E-5
40870.0,1.0,1.2174079520579553,0.004070610625094006,6.778521437316938,0.0,0.01,2.7870305652102738E-5,2.7961189399424223E-5
40880.0,1.0,1.2171292928903192,0.004069686436590101,6.778801020673077,0.0,0.01,2.785629487108386E-5,2.7947133117063683E-5
40890.0,1.0,1.2168507738055365,0.0040687627118087735,6.779080463482641,0.0,0.01,2.7842292011963365E-5,2.793308478213457E-5
40900.0,1.0,1.2165723947244051,0.004067839450488737,6.779359765825093,0.0,0.01,2.78282970693532E-5,2.7919044389230083E-5
40910.0,1.0,1.216294155567777,0.004066916652368882,6.779638927779841,0.0,0.01,2.781431003787138E-5,2.7905011932948087E-5
40920.0,1.0,1.216016056256558,0.004065994317188286,6.779917949426241,0.0,0.01,2.7800330912128995E-5,2.789098740789118E-5
40930.0,1.0,1.2157380967117077,0.004065072444686187,6.780196830843594,0.0,0.01,2.7786359686758806E-5,2.7876970808666443E-5
40940.0,1.0,1.2154602768542397,0.004064151034602011,6.780475572111146,0.0,0.01,2.7772396356384906E-5,2.78629621298857E-5
40950.0,1.0,1.2151825966052203,0.004063230086675355,6.780754173308092,0.0,0.01,2.775844091564006E-5,2.7848961366165364E-5
40960.0,1.0,1.214905055885771,0.004062309600645993,6.781032634513571,0.0,0.01,2.7744493359169176E-5,2.7834968512126443E-5
40970.0,1.0,1.214627654617066,0.004061389576253878,6.781310955806669,0.0,0.01,2.7730553681607623E-5,2.782098356239464E-5
40980.0,1.0,1.214350392720333,0.004060470013239136,6.781589137266416,0.0,0.01,2.7716621877603778E-5,2.7807006511600232E-5
40990.0,1.0,1.2140732701168533,0.0040595509113420655,6.781867178971793,0.0,0.01,2.770269794181556E-5,2.7793037354378034E-5
41000.0,1.0,1.213796286727962,0.004058632270303148,6.782145081001723,0.0,0.01,2.768878186889135E-5,2.7779076085367583E-5
41010.0,1.0,1.213519442475047,0.004057714089863032,6.782422843435078,0.0,0.01,2.7674873653497738E-5,2.7765122699212914E-5
41020.0,1.0,1.2132427372795505,0.0040567963697625475,6.782700466350675,0.0,0.01,2.7660973290298714E-5,2.7751177190562698E-5
41030.0,1.0,1.2129661710629667,0.004055879109742697,6.782977949827278,0.0,0.01,2.7647080773963474E-5,2.773723955407022E-5
41040.0,1.0,1.2126897437468445,0.004054962309544658,6.783255293943598,0.0,0.01,2.7633196099167284E-5,2.7723309784393283E-5
